Characteristic,Direct contribution,Total contribution
Aruba,30.4%,73.6%
Former Netherlands Antilles,23.1%,61.3%
British Virgin Islands,25.6%,57%
US Virgin Islands,25.1%,55.5%
Bahamas,23.3%,43.3%
Antigua and Barbuda,15.4%,42.7%
St Lucia,17.1%,40.7%
Grenada,16.8%,40.5%
Anguilla,15.8%,37.1%
Dominica,14.6%,36.9%
Jamaica,12%,31.1%
Barbados,12.5%,30.9%
St Vincent and the Grenadines,10.6%,28.6%
St Kitts and Nevis,10.7%,28.2%
Cayman Islands,8.8%,25.5%
Bermuda,6.2%,18.7%
Dominican Republic,5.7%,16.3%
Caribbean,5.4%,13.9%
Cuba,2.8%,10.3%
Guadeloupe,3.3%,9.5%
Haiti,3.6%,8.4%
Martinique,2.9%,7.8%
Trinidad and Tobago,3%,7.8%
Puerto Rico,2.5%,4.2%
