Characteristic,Import in tons
Ammonium nitrate (solid),938283
Ammonium sulfate,274619
Anhydrous ammonia,6938744
Aqua ammonia,96517
Calcium nitrate,42494
Chemical mixtures,218463
Concentrated super,230240
Diammonium phosphate (DAP),101105
Monammonium phosphate (MAP),546707
Nitrogen solutions,3286246
Normal super,1595
Other nitrogen fertilizers,462436
Phosphate rock,2819510
"Phosphoric acid, superphosphoric",5527
"Phosphoric acid, wet process",2253
Potassium muriate,9215293
Potassium nitrate,175416
Potassium sulfate,118082
Potassium-sodium nitrate,583
Sodium nitrate,164132
Sulfur,2259686
Urea (solid),7654464
