Characteristic,Subscriptions per 100 inhabitants
Barbados,44.61
Uruguay,33.66
Curaçao,32.74
Trinidad and Tobago,24.62
Puerto Rico,23.42
Bahamas,23.4
Venezuela,18.77
Mexico,17.81
Panama,17.46
Argentina,17.32
Brazil,15.97
Suriname,15.95
Chile,14.51
Colombia,13.93
Jamaica,13.5
Cuba,12.77
Costa Rica,12.69
Ecuador,12.64
Saint Vincent and the Grenadines,11.7
Dominican Republic,11.28
Guatemala,11.23
Bolivia,5.67
Honduras,5.03
Belize,4.74
Paraguay,3.87
Nicaragua,3.5
Haiti,0.05
