Type of store,Million U.S. dollars
Motor vehicle and parts dealers(NAICS 441),22075
General merchandise(NAICS 452),18223
Food and beverage stores(NAICS 445),16480
Building and material supply(NAICS 444),14991
Food services & drinking places(NAICS 722),14810
Gasoline service stations(NAICS 447),13495
Health and personal care(NAICS 446),8028
Clothing and clothing accessories(NAICS 448),6310
Nonstore retailers(NAICS 454),4501
Miscellaneous stores(NAICS 453),3343
Furniture and home furnishings(NAICS 442),2989
Electronics and appliances(NAICS 443),2775
"Sporting goods, hobby, book &music stores (NAICS 451)",2305
