Characteristic,Inflation rate compared to previous year
2026*,1.79%
2025*,1.88%
2024*,1.97%
2023*,1.98%
2022*,1.8%
2021*,1.76%
2020*,2.48%
2019*,-1.81%
2018*,0.56%
2017,0.36%
2016,1.92%
2015,0.57%
2014,2.1%
2013,-1.49%
2012,-3.05%
2011,1.5%
2010,-3.9%
2009,9.82%
2008,13.67%
2007,3.59%
2006,-1%
2005,-0.35%
2004,-0.74%
2003,1.63%
2002,3.18%
2001,6%
2000,0.38%
1999,1.76%
1998,3.67%
1997,2.55%
1996,-1.67%
1995,4.1%
1994,4%
1993,6.11%
1992,4.22%
1991,6.08%
1990,3.95%
1989,5.61%
1988,1.14%
1987,-10.21%
1986,6.61%
