Characteristic,2018/19,2019/20
Poland,902.0,815
Romania,457.0,404
Ireland,322.0,321
Italy,297.0,311
Portugal,234.0,271
Spain,184.0,185
France,192.0,164
Lithuania,211.0,152
Germany,149.0,142
Bulgaria,109.0,118
Hungary,88.0,108
Latvia,99.0,92
Netherlands,104.0,91
Slovakia,69.0,77
Greece,74.0,65
Sweden,58.0,42
Czechia,42.0,36
Denmark,22.0,28
Belgium,28.0,21
Finland,20.0,14
Cyprus,14.0,13
Austria,14.0,12
Estonia*,13.0,-
Croatia*,8.57,-
Malta*,8.34,-
Slovenia*,5.26,-
Luxembourg*,0.52,-
