Characteristic,Number of deaths
Malignant neoplasm of other and unspecified sites,5042
Symptoms and other ill-defined conditions,3763
"Malignant neoplasm of larynx, trachea, bronchus and lung",3587
"Bronchitis, emphysema and asthma",3551
Mental disorders,3515
Ischaemic heart disease,3231
Cerebrovascular disease,2948
Other forms of heart disease,2922
Other diseases of the nervous system and sense organs,2613
Pneumonia,1626
"Malignant neoplasm of intestine, except rectum",1362
All other accidents,1298
Diabetes mellitus,1286
Malignant neoplasm of prostate,1266
Infective and parasitic diseases (except tuberculosis),1218
Leukaemia and other neopl. of lymph. and haemato tissue,1095
Senility without mention of psychosis,1066
Hypertensive disease,1061
Malignant neoplasm of breast,1060
Other diseases of digestive system,972
Other,9476
Total,53958
