Characteristic,Production in million metric tons
2020*,39.0
2019*,42.0
2018*,42.0
2017,39.6
2016,41.7
2015,45.1
2014,45.3
2013,39.9
2012,37.2
2011,45.0
2010,43.3
2009,43.1
2008,47.4
2007,45.5
2006,40.6
2005,45.0
2004,45.0
2003,41.1
2002,37.7
2001,42.2
2000,43.3
1999,44.4
1998,40.8
1997,40.6
1996,42.9
1995,40.8
1994,39.7
1993,38.2
1992,34.8
1991,35.9
1990,36.9
1989,35.3
1988,35.3
1987,33.1
1986,33.3
1985,36.3
1984,35.6
1983,31.4
1982,34.4
1981,35.3
1980,36.6
1979,41.5
1978,38.9
1977,39.4
1976,40.1
1975,37.2
