Characteristic,"Rural birth rate per 1,000 inhabitants"
Andaman and Nicobar islands,14.5
Andhra Pradesh,17.7
Arunachal Pradesh,20.8
Assam,23.5
Bihar,28.3
Chandigarh,20.5
Chhatisgarh,25.8
Dadra and Nagar Haveli,24.9
Daman & Diu,18.2
Delhi,18.9
Goa,12.4
Gujarat,22.2
Haryana,22.4
Himachal Pradesh,16.5
Jammu and Kashmir,18.7
Jharkhand,25.9
Karnataka,19.1
Kerala,15.0
Lakshadweep,16.2
Madhya Pradesh,28.2
Maharashtra,17.2
Manipur,14.5
Meghalaya,26.1
Mizoram,20.0
Nagaland,15.5
Odisha,20.5
Puducherry,15.9
Punjab,16.3
Rajasthan,26.7
Sikkim,17.1
Tamil Nadu,15.7
Tripura,14.3
Uttar Pradesh,28.1
Uttarakhand,18.9
West Bengal,17.7
