Characteristic,Gross domestic product in billion U.S. dollars
2026*,106.14
2025*,100.76
2024*,95.4
2023*,90.07
2022*,84.38
2021*,77.78
2020*,68.56
2019,68.56
2018,66.29
2017,59.09
2016,53.8
2015,50.63
2014,56.88
2013,55.59
2012,54.01
2011,57.37
2010,50.36
2009,52.0
2008,54.43
2007,44.4
2006,34.38
2005,18.7
2004,26.16
2003,21.15
2002,16.4
2001,14.18
2000,13.25
1999,13.63
1998,15.03
1997,11.32
1996,12.3
1995,16.28
1994,9.72
1993,5.53
1992,10.18
1991,2.51
1990,25.61
1989,58.08
1988,57.03
1987,34.9
1986,30.11
