Characteristic,Number of active social media users in millions
Eastern Asia,1065.88
Southeast Asia,482.73
Southern Asia,470.01
Northern America,329.25
South America,274.22
Central & Western Europe,198.07
Western Asia,158.96
Southern Europe,143.27
Eastern Europe,117.47
Northern Africa,106.48
Western Africa,55.06
Eastern Africa,42.91
Central America,29.66
Southern Africa,26.37
Northern Europe,24.05
Australia & Oceania,23.57
Caribbean,21.3
Central Asia,13.93
Central Africa,12.38
