Characteristic,Payroll in million U.S. dollars
Toronto Maple Leafs,99
Vegas Golden Knights,94
New York Islanders,88
Washington Capitals,87
Dallas Stars,86
Pittsburgh Penguins,85
Vancouver Canucks,84
St. Louis Blues,82
Philadelphia Flyers,81
Tampa Bay Lightning,81
Carolina Hurricanes,80
Nashville Predators,78
Edmonton Oilers,78
Colorado Avalanche,78
Buffalo Sabres,76
San Jose Sharks,75
Minnesota Wild,75
Winnipeg Jets,75
Calgary Flames,74
New York Rangers,74
Montreal Canadiens,74
Boston Bruins,74
Columbus Blue Jackets,74
Anaheim Ducks,73
Florida Panthers,71
Chicago Blackhawks,71
New Jersey Devils,70
Arizona Coyotes,69
Los Angeles Kings,66
Ottawa Senators,65
Detroit Red Wings,63
