Characteristic,Population in millions
2030*,23.2
2029*,23.26
2028*,23.32
2027*,23.36
2026*,23.4
2025*,23.44
2024*,23.47
2023*,23.49
2022*,23.51
2021*,23.54
2020*,23.57
2019,23.6
2018,23.59
2017,23.57
2016,23.54
2015,23.49
2014,23.43
2013,23.37
2012,23.32
2011,23.22
2010,23.16
2009,23.12
2008,23.04
2007,22.96
2006,22.88
2005,22.77
2004,22.69
2003,22.6
2002,22.52
2001,22.41
2000,22.28
1999,22.09
1998,21.93
1997,21.74
1996,21.53
1995,21.36
1994,21.18
1993,21.0
1992,20.8
1991,20.61
1990,20.4
