Characteristic,GDP per capita in U.S. dollars
2026*,797.34
2025*,784.55
2024*,772.81
2023*,767.2
2022*,769.4
2021*,787.44
2020*,775.04
2019*,776.55
2018*,854.87
2017*,1172.97
2016*,1638.51
2015*,1698.08
2014*,1628.5
2013*,1462.58
2012 *,1396.29
2011,2034.46
2010,1637.42
2009,1401.24
2008,1700.51
2007,1599.6
2006,1249.77
2005,996.68
2004,772.94
2003,635.58
2002,554.65
2001,492.68
2000,422.32
1999,352.44
1998,366.58
1997,350.72
1996,292.91
1995,239.51
1994,205.92
1993,186.51
1992,113.48
1991,95.29
1990,87.2
1989,696.39
1988,404.71
1987,516.78
1986,328.59
