Industry,Real value added in billion chained (2012) U.S. dollars
"Finance, insurance, real estate, rental, and leasing",5.15
"Educational services, health care, and social assistance",3.89
Government and government enterprises,4.02
Professional and business services,3.33
Manufacturing,2.75
Retail trade,2.32
"Arts, entertainment, recreation, accommodation, and food services",1.35
Wholesale trade,1.45
Information,0.98
Construction,0.82
"Agriculture, forestry, fishing, and hunting",0.52
Utilities,0.6
Transportation and warehousing,0.41
"Mining, quarrying, and oil and gas extraction",0.16
