Characteristic,Fertility rate
2020,1.83
2015,1.89
2010,1.95
2005,1.77
2000,1.79
1995,1.86
1990,1.86
1985,1.91
1980,1.99
1975,2.54
1970,2.87
1965,3.27
1960,3.41
1955,3.18
1950,3.02
1945,2.54
1940,2.22
1935,2.19
1930,2.73
1925,3.03
1920,3.07
1915,3.51
1910,3.35
1905,3.53
1900,3.71
1895,4.35
1890,4.72
1885,4.71
1880,4.75
1875,4.96
1870,5.31
1865,5.69
1860,5.6
1855,4.98
1850,5.03
1845,5.24
1840,5.45
1835,5.66
1830,5.87
1825,6.04
1820,6.14
1815,6.24
1810,6.34
1805,6.44
1800,6.5
