Characteristic,Box office revenue in million U.S. dollars
Marvel Cinematic Universe,8545.97
Star Wars,5080.59
Harry Potter,2786.94
Batman,2783.76
Spider-Man,2711.12
Marvel Avengers,2619.55
X-Men,2458.47
DC Extended Universe,2194.18
Jurassic Park,1882.8
James Bond,2136.67
Peter Jackson's Lord of the Rings,1852.3
Fast and the Furious,1690.75
Transformers,1582.4
Pirates of the Caribbean,1451.78
Hunger Games,1451.54
Shrek,1419.6
Star Trek,1400.95
Twilight,1365.92
Toy Story,1318.12
Despicable Me,1220.25
Dark Knight Trilogy,1187.2
Mission: Impossible,1154.49
Superman,1152.7
Iron Man,1040.03
Indiana Jones,919.84
