Characteristic,Net profit in million NOK
Telenor ASA,23621.0
Telenor Norge AS,6324.0
Telia Norge AS,2446.0
Canal Digital AS,581.0
Telenor Satellite AS,351.0
Kongsberg Satellite Services AS,265.0
Norkring AS,236.0
Tempnet AS,164.0
Fugro Norway AS,160.0
Telenor Global Services AS,90.0
Nextgentel Holding ASA,87.0
Powertech Information Systems AS,78.2
Eltel Networks AS,50.0
Airbus Defence And Space AS,47.9
Telenor Svalbard AS,38.4
Inmarsat Solutions AS,36.7
Jotron AS,34.8
Viasat AS,22.4
Altifiber AS,22.3
Fiberworks AS,20.5
