Characteristic,Number of registered clients
January-March 2020,329038
October-December 2019,358864
July-September 2019,369614
April-June 2019,363917
January-March 2019,355302
October-December 2018,353642
July-September 2018,342103
April-June 2018,330344
January-March 2018,296702
October-December 2017,269502
July-September 2017,235621
April-June 2017,201398
January-March 2017,167754
October-December 2016,129876
July-September 2016,98460
April-June 2016,75166
January-March 2016,53649
October-December 2015,39668
July-September 2015,30537
April-June 2015,23930
