Characteristic,TV ratings
Championship Game - Kentucky vs. Connecticut (Apr. 7),12.4
Final 4 - Kentucky vs. Wisconsin (Apr. 5),9.2
Final 4 - Connecticut vs. Florida (Apr. 5),6.9
Elite 8 - Kentucky vs. Michigan (Mar. 30),8.9
Elite 8 - Connecticut vs. Michigan St. (Mar. 30),6.1
Elite 8 - Wisconsin vs. Arizona (Mar. 29),5.8
Elite 8 - Dayton vs. Florida (Mar. 29),4.3
Sweet 16 - Kentucky vs. Louisville (Mar. 28),5.9
Sweet 16 - Tennessee vs. Michigan (Mar. 28),5.0
Sweet 16 - UCLA vs. Florida (Mar. 27),4.7
Sweet 16 - Dayton vs. Stanford (Mar. 27),4.6
Sweet 16 - Michigan St. vs. Virginia (Mar. 28),3.0
Sweet 16 - SDSU vs. Arizona (Mar. 27),2.0
Sweet 16 - Baylor vs. Wisconsin (Mar. 27),1.9
Sweet 16 - Connecticut vs. Iowa St. (Mar. 28),1.8
