Characteristic,Gross domestic product in billion U.S. dollars
2026*,59.11
2025*,55.82
2024*,52.72
2023*,49.79
2022*,47.12
2021*,44.98
2020*,43.48
2019,44.57
2018,42.99
2017,41.47
2016,39.95
2015,38.64
2014,36.9
2013,34.5
2012,31.68
2011,29.52
2010,27.13
2009,24.54
2008,22.65
2007,17.65
2006,15.53
2005,12.98
2004,11.77
2003,10.51
2002,9.88
2001,9.26
2000,8.73
1999,8.4
1998,8.16
1997,7.47
1996,7.15
1995,6.86
1994,6.39
1993,5.7
1992,5.54
1991,4.48
1990,4.29
1989,4.39
1988,6.52
1987,6.96
1986,6.6
