Characteristic,Primary treatment,Secondary treatment,Tertiary treatment,No treatment (including CSOs)*
Canada,25.3%,46.5%,23.7%,4.4%
Newfoundland and Labrador,48.7%,13.5%,1.1%,36.6%
Prince Edward Island,0.8%,78.8%,20.4%,0%
Nova Scotia,40.5%,25.3%,9.7%,24.5%
New Brunswick,19.1%,68.5%,0.5%,11.9%
Quebec,50%,39.8%,7.4%,2.7%
Ontario,0.6%,59.4%,39%,1%
Manitoba,1.7%,75.1%,18.8%,4.5%
Saskatchewan,0%,54.8%,45.1%,0.1%
Alberta,0.1%,17.3%,81.4%,1.2%
British Columbia,36.5%,45.1%,7.3%,11.1%
Yukon,0%,100%,0%,0%
