Industry,Real value added in billion chained (2012) U.S. dollars
"Finance, insurance, real estate, rental, and leasing",166.55
Professional and business services,108.21
Manufacturing,96.31
Government and government enterprises,69.63
"Educational services, health care, and social assistance",64.09
Wholesale trade,55.77
Retail trade,41.99
Information,34.66
Transportation and warehousing,25.96
"Arts, entertainment, recreation, accommodation, and food services",20.45
Construction,21.6
Utilities,12.58
"Agriculture, forestry, fishing, and hunting",12.39
"Mining, quarrying, and oil and gas extraction",1.66
