Entity,Less than high school,High school graduate,Some college,Bachelor's or more
Sub- Saharan Africa,12.0,20.0,27,40
North Africa,12.0,19.0,19,50
Middle East,12.0,19.0,19,50
South America,14.0,27.0,25,34
Central America,47.0,26.0,17,11
Caribbean,23.0,30.0,25,22
Other North America,nan,17.0,26,50
Europe,11.0,22.0,23,44
Oceania,13.0,25.0,26,37
South Asia,10.0,nan,10,71
Central Asia,5.0,16.0,22,57
Southeast Asia,16.0,18.0,20,46
East and,16.0,18.0,20,46
Mexico,54.0,26.0,13,0
Foreign born birthplace:,0.0,0.0,0,0
Foreign born,27.0,22.0,19,32
U.S. born,8.0,28.0,31,33
