Characteristic,Gross domestic product in billion U.S. dollars
2026*,14.22
2025*,13.67
2024*,13.29
2023*,12.99
2022*,12.68
2021*,12.28
2020*,12.15
2019,12.54
2018,13.06
2017,13.79
2016,13.29
2015,12.76
2014,11.88
2013,10.98
2012,10.53
2011,9.77
2010,8.76
2009,8.3
2008,8.5
2007,7.42
2006,6.76
2005,6.32
2004,5.79
2003,5.32
2002,5.22
2001,5.34
2000,5.11
1999,4.86
1998,4.64
1997,4.39
1996,4.31
1995,4.14
1994,3.86
1993,3.73
1992,3.89
1991,3.68
1990,0.52
1989,2.08
1988,1.5
1987,3.41
1986,5.8
