Characteristic,Inflation rate compared to previous year
2026*,1.9%
2025*,1.83%
2024*,1.56%
2023*,0.98%
2022*,0.83%
2021*,0.16%
2020*,-1.26%
2019,0.52%
2018,0.77%
2017,1.14%
2016,0.01%
2015,-1.09%
2014,-1.39%
2013,-0.85%
2012,1.04%
2011,3.12%
2010,4.7%
2009,1.35%
2008,4.23%
2007,2.99%
2006,3.31%
2005,3.49%
2004,3.02%
2003,3.45%
2002,3.92%
2001,3.64%
2000,2.9%
1999,2.14%
1998,4.52%
1997,5.44%
1996,7.87%
1995,8.82%
1994,10.88%
1993,14.35%
1992,15.87%
1991,19.5%
1990,20.35%
1989,13.71%
1988,13.48%
1987,16.36%
1986,23.11%
