Characteristic,Facebook fans in millions
NBA,39.0
Los Angeles Lakers,21.75
Chicago Bulls,17.24
Houston Rockets,15.42
Miami Heat,14.85
Golden State Warriors,11.59
Boston Celtics,8.81
Cleveland Cavaliers,8.26
Sacramento Kings,7.69
San Antonio Spurs,6.86
Oklahoma City Thunder,6.8
New York Knicks,5.67
Washington Wizards,4.87
Dallas Mavericks,4.35
Los Angeles Clippers,3.79
Indiana Pacers,3.16
Brooklyn Nets,2.8
Orlando Magic,2.68
Toronto Raptors,2.65
Portland Trailblazers,2.43
Denver Nuggets,2.04
Detroit Pistons,2.02
Milwaukee Bucks,1.93
Phoenix Suns,1.86
Minnesota Timberwolves,1.84
Utah Jazz,1.81
Memphis Grizzlies,1.79
New Orleans Pelicans,1.76
Philadelphia 76ers,1.74
Charlotte Hornets,1.72
Atlanta Hawks,1.57
