Characteristic,Inflation rate compared to previous year
2026*,1.3%
2025*,1.3%
2024*,1.3%
2023*,1.4%
2022*,1.38%
2021*,1.04%
2020,0.6%
2019,1%
2018,1.02%
2017,1.88%
2016,3.07%
2015,4.66%
2014,5.7%
2013,5.19%
2012,9.28%
2011,5.1%
2010,10.53%
2009,7.01%
2008,12.04%
2007,7.88%
2006,8.31%
2005,6.88%
2004,3.76%
2003,3.78%
2002,4.14%
2001,5.6%
2000,3.52%
1999,3.41%
1998,5.6%
1997,3.66%
1996,3.29%
1995,5.27%
1994,8.81%
1993,10.79%
1992,6.49%
1991,3.8%
1990,11.06%
1989,11.43%
1988,7.76%
1987,10.75%
1986,7.69%
