Characteristic,Value in million U.S. dollars
Scientific Games - Bally Technologies (2014),5100
Gtech - IGT (2014),4700
PartyGaming - Bwin Interactive (2011),1800
Scientific Games - WMS (2013),1500
888 Holdings - Bwin.party (2015),1400
Churchill Downs - Big Fish Games (2014),885
IGT - Double Down (2012),500
Apollo - AGS (2013),240
Caesars Entertainment - Platika (2011),180
GSN - Bash Gaming (2014),165
Imperus Technologies - Diwip (2014),100
Bally Technologies - Dragon Play (2014),100
Caesars Entertainment - Pacific Interactive (2014),90
Aristocrat - Product Madness (2012),40
888 Holdings - Mytopia (2010),24
