Characteristic,Average price per night in U.S. dollars
"Boston, USA",274
"Cancùn, Mexico",247
"New York, USA",231
"Dubai, UEA",226
"Macao, China",213
"Aberdeen, UK",209
"Newcastle, UK",208
"Monte-Carlo, Monaco",202
"Punta Cana, Dominican Republic",193
"Miami, USA",193
"Birmingham, UK",191
"Bristol, UK",179
"San Francisco, USA",178
"Rio de Janeiro, Brazil",176
"London, UK",176
"Zürich, Switzerland",172
"Nassau, Bahamas",171
"St Moritz, Switzerland",171
"Sydney, Australia",168
"Venice, Italy",166
