Characteristic,Companies
Information technology,106193
Architecture,47582
Telecommunications,29100
Electrical electronic manufacturing,17704
Printing,12576
Entertainment film production,12413
"Marketing, advertising",11896
Semiconductors,8615
Photography,4362
Publishing,3117
Financial services,2968
Wireless,2346
Computer software,2046
Graphic design,1914
Internet,1189
Broadcast media,1038
Design,759
Online publishing,577
Media production,413
Music,412
Computer networking,374
"Aviation, aerospace",371
Motion pictures film,338
Computer hardware,264
Business supplies equipment,226
Consumer electronics,181
Information services,167
Medical equipment,143
Computer networking security,99
E-learning,78
Consumer services,68
Defense space,57
"Newspapers, journalism",52
Computer games,33
Animation,15
Nanotechnology,9
