Characteristic,Inflation rate compared to previous year
2026*,4.96%
2025*,4.95%
2024*,5.04%
2023*,5.48%
2022*,7.66%
2021*,9.47%
2020,8.64%
2019,9.38%
2018,9.22%
2017,11.54%
2016,21.73%
2015,21.86%
2014,23.78%
2013,28.28%
2012,21.3%
2011,7.62%
2010,7.41%
2009,8.42%
2008,8.72%
2007,8.52%
2006,8.34%
2005,8.16%
2004,7.98%
2003,7.83%
2002,7.71%
2001,7.64%
2000,29.6%
1999,44.76%
1998,29.78%
1997,9.14%
1996,37.73%
1995,83.15%
1994,34.66%
1993,22.78%
1992,23.24%
1991,8.23%
1990,11.86%
1989,12.45%
1988,33.84%
1987,25.05%
1986,14.18%
