Characteristic,Share of respondents
Laptop (including Mac laptops),59%
Desktop PC / Mac,45%
A standard mobile phone without internet,36%
PVR box (e.g. Sky+) or Freeview box,35%
Games console with internet,30%
Android smartphone,25%
Games console without internet,20%
iPhone,16%
"Handheld gaming device e.g. Nintendo DS, PSP/ VITA with internet access",14%
"Handheld gaming device e.g. Nintendo DS, PSP/ VITA without internet access",13%
iPad,13%
Blackberry,12%
Other smartphone,8%
Other tablet,7%
Windows smartphone,3%
PDA,2%
None of these,5%
