Characteristic,Number of liver transplants
Alabama,100
Arizona,303
Arkansas,33
California,1021
Colorado,131
Connecticut,51
Delaware,6
District of Columbia,124
Florida,655
Georgia,280
Hawaii,16
Illinois,376
Indiana,137
Iowa,32
Kansas,45
Kentucky,70
Louisiana,202
Maryland,198
Massachusetts,289
Michigan,192
Minnesota,208
Mississippi,37
Missouri,198
Nebraska,119
New Jersey,44
New Mexico,0
New York,595
North Carolina,215
Ohio,514
Oklahoma,88
Oregon,88
Pennsylvania,602
Puerto Rico,33
South Carolina,63
South Dakota,14
Tennessee,265
Texas,875
Utah,133
Virginia,214
Washington,152
Wisconsin,188
