Characteristic,Number of licensed vehicles
Q3 '19,592
Q2 '19,593
Q1 '19,598
Q4 '18,610
Q3 '18,608
Q2 '18,616
Q1 '18,609
Q4 '17,626
Q3 '17,627
Q2 '17,632
Q1 '17,634
Q4 '16,631
Q3 '16,631
Q2 '16,630
Q1 '16,623
Q4 '15,598
Q3 '15,618
Q2 '15,620
Q1 '15,581
Q4 '14,555
Q3 '14,582
Q2 '14,569
Q1 '14,584
Q4 '13,591
Q3 '13,581
Q2 '13,563
Q1 '13,535
Q4 '12,494
Q3 '12,443
Q2 '12,371
Q1 '12,224
Q4 '11,216
Q3 '11,214
Q2 '11,216
Q1 '11,225
Q4 '10,221
Q3 '10,214
Q2 '10,217
Q1 '10,222
