Characteristic,Number of participants
2014 Sochi*,2800
2010 Vancouver,2536
2006 Torino,2494
2002 Salt Lake City,2402
1998 Nagano,2180
1994 Lillehammer,1738
1992 Albertville,1801
1988 Calgary,1424
1984 Sarajevo,1273
1980 Lake Placid,1072
1976 Innsbruck,1129
1972 Sapporo,1008
1968 Grenoble,1160
1964 Innsbruck,1094
1960 Squaw Valley,665
1956 Cortina d'Ampezzo,821
1952 Oslo,694
1948 St. Moritz,668
1936 Garmisch-Partenkirchen,668
1932 Lake Placid,252
1928 St. Moritz,461
1924 Chamonix,292
