Characteristic,Number of runs scored
BB McCullum  (New Zealand vs Bangladesh - 2012),123
CH Gayle  (West Indies vs South Africa - 2007),117
AD Hales  (England vs Sri Lanka - 2014)*,116
Ahmed Shehzad  (Pakistan vs Bangladesh - 2014)*,111
Tamim Iqbal  (Bangladesh vs Oman - 2016),103
SK Raina  (India vs South Africa - 2010),101
CH Gayle  (West Indies vs England - 2016)*,100
DPMD Jayawardene  (Sri Lanka vs Zimbabwe - 2010),100
LJ Wright  (England vs Afghanistan - 2012)*,99
DPMD Jayawardene  (Sri Lanka vs West Indies - 2010)*,98
