Characteristic,Revenue multiple
New York Yankees,3.3
Boston Red Sox,3.1
New York Mets,3.0
Chicago Cubs,2.7
Los Angeles Dodgers,2.7
San Diego Padres,2.6
St. Louis Cardinals,2.4
Texas Rangers,2.4
Houston Astros,2.3
Minnesota Twins,2.3
San Francisco Giants,2.3
Seattle Mariners,2.3
Atlanta Braves,2.3
Chicago White Sox,2.2
Philadelphia Phillies,2.2
Cleveland Indians,2.2
Los Angeles Angels,2.2
Arizona Diamondbacks,2.1
Florida Marlins,2.1
Baltimore Orioles,2.1
Kansas City Royals,2.0
Colorado Rockies,2.0
Tampa Bay Rays,1.9
Cincinnati Reds,1.9
Pittsburgh Pirates,1.9
Milwaukee Brewers,1.9
Toronto Blue Jays,1.8
Washington Nationals,1.8
Oakland Athletics,1.8
Detroit Tigers,1.8
