Characteristic,Residential,Commercial**,Industrial**
2020,13.2,10.65,6.66
2019,13.01,10.68,6.81
2018,12.87,10.67,6.92
2017,12.89,10.66,6.88
2016,12.55,10.43,6.76
2015,12.65,10.64,6.91
2014,12.52,10.74,7.1
2013,12.13,10.26,6.89
2012,11.88,10.09,6.67
2011,11.72,10.23,6.82
2010,11.54,10.19,6.77
2009,11.51,10.17,6.81
2008,11.26,10.36,6.83
2007,10.65,9.65,6.39
2006,10.4,9.46,6.16
2005,9.45,8.67,5.73
2004,8.95,8.17,5.25
2003,8.72,8.03,5.11
2002,8.44,7.89,4.88
2001,8.58,7.92,5.05
2000,8.24,7.43,4.64
1999,8.16,7.26,4.43
1998,8.26,7.41,4.48
