Characteristic,White,Black,Hispanic,Asian / Pacific Islander,American Indian / Alaska Native,Two or more races
2019,54.3%,13.3%,20.3%,7.4%,0.7%,4.1%
2018,55.2%,13.4%,19.5%,7.3%,0.7%,3.9%
2017,56%,13.6%,18.9%,7.1%,0.7%,3.7%
2016,56.9%,13.7%,18.2%,6.9%,0.8%,3.5%
2015,57.6%,14.1%,17.4%,6.8%,0.8%,3.5%
2014,58.3%,14.5%,16.5%,6.6%,0.8%,3.3%
2013,59.3%,14.7%,15.8%,6.4%,0.8%,2.9%
2012,60.3%,14.9%,15%,6.3%,0.9%,2.5%
2011,61.2%,15.2%,14.3%,6.3%,0.9%,2.1%
2010,62.6%,15%,13.5%,6.3%,1%,1.6%
2005,68%,13.1%,11.1%,6.7%,1%,-
2000,70.8%,11.7%,9.9%,6.6%,1%,-
1990,79.9%,9.3%,5.8%,4.3%,0.8%,-
1980,83.5%,9.4%,4%,2.4%,0.7%,-
