Characteristic,Advertising agencies,Public relations agencies,Direct mail advertising,Outdoor advertising,Media buying agencies,Media representatives,Advertising material distribution services,Other services related to advertising
2018,187908,55873,41941,26293,21730,17296,11596,121500
2017,191742,54685,45814,27620,22318,12944,12792,117376
2016,194792,58489,45505,26441,21620,14816,12430,98070
2015,188781,55102,45426,25703,21645,13066,11819,100608
2014,190551,53752,45717,27193,22002,13597,11538,103644
2013,185514,51754,46101,28551,20844,13872,11952,105432
2012,172528,50802,51257,26226,21011,12764,11386,101603
2011,165939,52091,52793,25995,19370,12893,15221,84974
2010,149095,49888,55091,24534,15864,12654,15652,88921
2009,157118,50018,60841,28980,15490,13188,17579,89468
