Brand/segment,Percent market share by segment
L'Oréal Superior Preference/ women's hair coloring,12.1%
Garnier Nutrisse/ women's hair coloring,11%
TRESemmé Tres Two/ hair spray/spritz,20.6%
L'Oréal Excellence/ women's hair coloring,9.2%
Just For Men/ men's hair coloring,63.3%
Clairol Nice 'n Easy/ women's hair coloring,8.3%
Revlon ColorSilk Beautiful Color/ women's hair coloring,7.7%
Conair/ hair appliances,13.1%
Clairol Nice 'n Easy Root Touch-Up/ women's hair coloring,5.6%
Organix/ hair conditioner/crème rinse,4.3%
Suave Proressionals/ regular shampoo,3.9%
L'Oréal Feria/ women's hair coloring,5.3%
Organix/ regular shampoo,3.5%
Rogaine/ hair growth products,57.2%
Clairol Natural Instincts/ women's hair coloring,4.2%
Conair Infinit Pro/ hair appliances,7.5%
Suave Naturals/ regular shamppoo,2.8%
Head & Shoulders Dry Scalp Care/ dandruff shampoo,10.1%
Suave Professionals/ hair conditioner/crème rinse,2.6%
Suave/ hair spray/spritz,7.2%
