Characteristic,Expected Wi-Fi speed in Mbps
Riverview Hotel Singapore,81.2
"Fraser Place Robertson Walk, Singapore",80.5
Singapore Marriott Tang Plaza Hotel,69.4
Shangri-La Apartments,36.5
Wink Hostel,35.9
Marina Bay Sands,30.6
Capri by Fraser Changi City,30.5
The Fullerton Hotel Singapore,28.9
Hotel Jen Tanglin Singapore,26.1
Hotel Jen Orchardgateway Singapore,25.3
Parkroyal on Kitchener Road,24.2
Shangri-La Hotel Singapore,23.0
Royal Plaza On Scotts,23.0
Rendezvous Hotel Singapore by Far East Hospitality,21.6
The Westin Singapore,19.0
