Characteristic,Times Higher Education score
University of Oxford (UK),95.6
University of Cambridge (UK),94.0
Imperial College London (UK),89.4
ETH Zürich – Swiss Federal Institute of Technology Zürich (CH),87.9
University College London (UK),86.9
London School of Economics and Political Science (UK),81.4
University of Edinburgh (UK),79.4
Ludwig-Maximilians-Universität München (GE),78.2
King's College London (UK),76.1
Karolinska Institute (SE),76.0
Technical University of Munich (GE),74.8
Heidelberg University (GE),74.3
École Polytechnique Fédérale de Lausanne (CH),74.1
KU Leuven (BE),73.7
Paris Sciences et Lettres – PSL Research University,73.6
University of Manchester (UK),70.9
Wageningen University and Research Center (NE),69.4
University of Amsterdam (NE),68.8
Leiden University (NE),66.7
Erasmus University Rotterdam (NE),66.2
