Characteristic,Crude birth rate
2020,11.2
2015,12.3
2010,12.8
2005,12.9
2000,12.7
1995,12.8
1990,13.7
1985,14.2
1980,13.8
1975,16.1
1970,17.2
1965,18.3
1960,18.2
1955,19.1
1950,22.24
1945,15.14
1940,14.53
1935,16.48
1930,18.19
1925,19.34
1920,13.28
1915,17.25
1910,19.89
1905,21.25
1900,21.89
1895,22.33
1890,23.04
1885,24.69
1880,25.33
1875,25.54
1870,23.9
1865,22.96
1860,23.82
1855,23.08
1850,21.86
1845,23.01
1840,23.92
1835,24.47
1830,24.96
1825,25.36
1820,25.68
1815,25.88
1810,26.68
1805,28.38
1800,29.4
