FTSE All-share companies,Market capitalization in million GBP
Tesco,17412.2
Next,11389.1
Marks & Spencer,9051.2
Kingfisher,8593.9
Burberry Group,7401.0
Signet Jewelers,6697.0
Dixons Carphone,5331.3
J Sainsbury,5106.9
Sports Direct International,4204.2
Morrison Supermarkets,4163.5
B&M,3487.0
Ocado Group,2324.4
Dunelm Group,1913.4
WHSmith,1776.0
Pets at Home Group,1500.0
Home Retail,1342.2
JD Sports Fashion,1304.1
Ted Baker,1295.4
Debenhams,1133.9
Card Factory,1124.0
Halfords,1061.0
N Brown Group,1013.5
SuperGroup,1002.6
Poundland,785.5
Ao World,619.0
