Characteristic,Inflation rate compared to previous year
2026*,1.56%
2025*,1.61%
2024*,1.44%
2023*,1.33%
2022*,1.17%
2021*,1.08%
2020,0.53%
2019,1.3%
2018,2.1%
2017,1.17%
2016,0.31%
2015,0.09%
2014,0.61%
2013,0.99%
2012,2.21%
2011,2.29%
2010,1.74%
2009,0.1%
2008,3.16%
2007,1.61%
2006,1.89%
2005,1.89%
2004,2.34%
2003,2.17%
2002,1.94%
2001,1.78%
2000,1.82%
1999,0.58%
1998,0.67%
1997,1.27%
1996,2.08%
1995,1.77%
1994,1.66%
1993,2.24%
1992,2.46%
1991,3.4%
1990,0.32%
1989,6.57%
1988,2.7%
1987,3.29%
1986,2.54%
