Characteristic,"Number of self-employed (in 1,000s)"
Construction,781
"Professional, scientific & technical activities",650
Other services,570
"Wholesale, retail & repair of motor vehicles",357
Human health & social work activities,292
Administrative & support services,289
Education,253
Transport & storage,226
Information & communication,202
Manufacturing,196
"Agriculture, forestry, fishing, mining, energy & water",175
Accommodation and food services,125
Financial & insurance activities,108
Real estate activities,72
Public admin & defence; social security,44
