Characteristic,Market share
Dec 20,11.78%
Nov 20,8.87%
Oct 20,8.47%
Sep 20,8.33%
Aug 20,10.08%
Jul 20,8.93%
Jun 20,8.55%
May 20,5.91%
Apr 20,4.86%
Mar 20,9.01%
Feb 20,11.24%
Jan 20,8.84%
Dec 19,9.86%
Nov 19,9.78%
Oct 19,9.59%
Sep 19,5.72%
Aug 19,12.24%
Jul 19,9.66%
Jun 19,9.16%
May 19,8.57%
Apr 19,9.41%
Mar 19,8.37%
Feb 19,9.71%
Jan 19,8.21%
Dec 18,11.11%
Nov 18,9.94%
Oct 18,8.9%
Sep 18,4.81%
Aug 18,11.96%
Jul 18,10.23%
Jun 18,9.88%
May 18,9.39%
Apr 18,8.7%
Mar 18,7.98%
Feb 18,8.71%
Jan 18,7.69%
Dec 17,10.06%
Nov 17,8.55%
Oct 17,8.7%
Sep 17,8.53%
Aug 17,9.06%
Jul 17,8.7%
Jun 17,9.3%
May 17,8.41%
Apr 17,6.55%
Mar 17,7.02%
Feb 17,8.81%
Jan 17,7.43%
Dec 16,8.78%
