Characteristic,"HICP, 2015=100"
May 21,107.4
Apr 21,107.02
Mar 21,106.8
Feb 21,106.07
Jan 21,106.03
Dec 20,105.75
Nov 20,105.5
Oct 20,105.27
Sept 20,105.3
Aug 20,105.89
Jul 20,106.01
Jun 20,105.58
May 20,105.49
Apr 20,105.32
Mar 20,105.34
Feb 20,105.27
Jan 20,105.24
Dec 19,105.78
Nov 19,105.27
Oct 19,105.2
Sept 19,105.28
Aug 19,105.67
Jul 19,105.11
Jun 19,105.35
May 19,105.06
Apr 19,104.93
Mar 19,104.55
Feb 19,103.64
Jan 19,103.52
Dec 18,104.1
Nov 18,104.0
Oct 18,104.24
Sep 18,104.12
Aug 18,104.35
Jul 18,103.8
Jun 18,103.93
May 18,103.92
Apr 18,103.43
Mar 18,103.22
Feb 18,102.05
Jan 18,102.06
