Characteristic,Market value in million euros
Lionel Messi (Argentina),180
Neymar (Brazil),180
Mohamed Salah (Egypt),150
Kevin De Bruyne (Belgium),150
Harry Kane (England),150
Kylian Mbappé (France),120
Eden Hazard (Belgium),110
Philippe Coutinho (Brazil),100
Dele Alli (England),100
Antoine Griezmann (France),100
Cristiano Ronaldo (Portugal),100
Paulo Dybala (Argentina),100
Paul Pogba (France),90
Raheem Sterling (England),90
Romelu Lukaku (Belgium),90
Robert Lewandowski (Poland),90
Toni Kroos (Germany),80
Roberto Firmino (Brazil),80
Christian Eriksen (Denmark),80
Ousmane Dembélé (France),80
Sergio Busquets (Spain),80
Sergio Agüero (Uruguay),80
Gabriel Jesus (Brazil),80
Marco Asensio (Spain),75
Isco (Spain),75
