Characteristic,2018,2019
Spain,71.4,73.8
France,54.7,55.6
Netherlands,58.4,55.6
United Kingdom,54.7,54.5
Finland,43.3,52.3
Portugal,48.7,49.9
Czechia,47.9,48.1
Norway,45.3,47.8
Denmark,40.7,47.6
Sweden,44.8,47.1
Austria,47.0,43.9
Switzerland,41.4,39.5
Belgium,46.2,37.4
Italy,35.8,36.1
Slovakia,27.0,35.8
Lithuania,29.0,35.5
Croatia,43.6,32.9
Ireland,34.8,31.9
Estonia,44.6,31.5
Hungary,34.5,27.4
Poland,24.8,25.9
Germany,27.8,25.9
Latvia,27.9,19.5
Slovenia,26.7,18.1
Greece,12.7,16.0
Cyprus,15.8,12.5
Bulgaria,3.6,5.1
