Characteristic,Number of followers in millions
Chicago Blackhawks,6.67
Pittsburgh Penguins,5.35
Boston Bruins,4.98
Toronto Maple Leafs,4.3
Detroit Red Wings,4.0
New York Rangers,3.95
Montreal Canadiens,3.77
Philadelphia Flyers,3.32
Los Angeles Kings,2.78
Vancouver Canucks,2.53
Washington Capitals,2.33
San Jose Sharks,2.28
St Louis Blues,2.08
Edmonton Oilers,1.99
Dallas Stars,1.97
Tampa Bay Lightning,1.78
Minnesota Wild,1.75
Buffalo Sabres,1.73
Colorado Avalanche,1.69
New Jersey Devils,1.53
Vegas Golden Knights,1.47
Nashville Predators,1.4
Calgary Flames,1.39
Anaheim Ducks,1.38
Winnipeg Jets,1.35
Ottawa Senators,1.2
New York Islanders,1.16
Columbus Blue Jackets,1.14
Carolina Hurricanes,1.02
Arizona Coyotes,0.92
Florida Panthers,0.81
