Characteristic,GDP in billion U.S. dollars
2026*,1263.77
2025*,1149.24
2024*,1042.33
2023*,953.98
2022*,868.44
2021*,794.53
2020,719.54
2019,760.94
2018,779.6
2017,858.93
2016,869.28
2015,864.07
2014,938.51
2013,957.5
2012,880.14
2011,838.51
2010,776.56
2009,648.8
2008,770.82
2007,680.49
2006,555.13
2005,506.19
2004,409.13
2003,314.75
2002,240.19
2001,202.25
2000,274.32
1999,256.57
1998,275.82
1997,261.85
1996,250.48
1995,233.56
1994,179.35
1993,248.56
1992,219.17
1991,208.4
1990,207.5
1989,147.72
1988,125.03
1987,118.92
1986,102.33
