Characteristic,Amount contributed in U.S. dollars
Goldman Sachs,"676,080$"
JPMorgan Chase & Co,"520,299$"
Morgan Stanley,"513,647$"
Bank of America,"510,728$"
Credit Suisse Group,"427,560$"
Citigroup Inc,"363,015$"
Barclays,"349,400$"
Wells Fargo,"320,025$"
Kirkland & Ellis,"309,042$"
Deloitte LLP,"286,110$"
PricewaterhouseCoopers,"266,650$"
UBS AG,"259,200$"
HIG Capital,"220,495$"
Blackstone Group,"219,525$"
Bain Capital,"172,500$"
Elliott Management,"172,475$"
General Electric,"158,800$"
Ernst & Young,"156,425$"
Marriott International,"154,837$"
Bain & Co,"145,800$"
