Characteristic,Gross domestic product in billion U.S. dollars
2026*,3.06
2025*,2.93
2024*,2.82
2023*,2.7
2022*,2.57
2021*,2.47
2020*,2.41
2019,3.7
2018,3.47
2017,3.22
2016,3.13
2015,4.79
2014,5.24
2013,5.15
2012,4.98
2011,4.42
2010,4.37
2009,3.88
2008,3.53
2007,2.94
2006,2.63
2005,2.24
2004,1.87
2003,1.62
2002,1.38
2001,1.09
2000,1.27
1999,1.22
1998,1.48
1997,1.24
1996,1.15
1995,0.93
1994,0.49
1993,0.43
1992,0.55
1991,0.59
1990,0.54
1989,2.03
1988,1.74
1987,1.47
1986,1.34
