Characteristic,Number of minutes played
Kareem Abdul-Jabbar,57446
Karl Malone,54852
Dirk Nowitzki,51367
Kevin Garnett,50412
Jason Kidd,50116
Elvin Hayes,50000
LeBron James*,50054
Kobe Bryant,48643
Wilt Chamberlain,47859
John Stockton,47766
Reggie Miller,47620
Tim Duncan,47367
Gary Payton,47117
John Havlicek,46471
Vince Carter,46370
Ray Allen,46350
Paul Pierce,45879
Robert Parish,45704
Moses Malone,45071
Joe Johnson,44233
Hakeem Olajuwon,44218
Oscar Robertson,43886
Clifford Robinson,42560
Buck Williams,42470
Jason Terry,42034
Shaquille O'Neal,41917
Carmelo Anthony*,41720
Scottie Pippen,41068
Michael Jordan,41010
Pau Gasol,41001
