Characteristic,Number of deaths
"Toronto, Ontario",38834
"Montréal, Quebec",35245
"Vancouver, British Columbia",16353
"Ottawa-Gatineau, Ontario/Quebec",10050
"Edmonton, Alberta",8752
"Calgary, Alberta",7791
"Hamilton, Ontario",7102
"Winnipeg, Manitoba",6685
"Québec, Quebec",6457
"St. Catharines-Niagara, Ontario",4797
"London, Ontario",4663
"Kitchener-Cambridge-Waterloo, Ontario",4279
"Victoria, British Columbia",3687
"Halifax, Nova Scotia",3222
"Windsor, Ontario",3207
"Oshawa, Ontario",3131
"Saskatoon, Saskatchewan",2130
"Kelowna, British Columbia",1959
"Regina, Saskatchewan",1869
"Greater Sudbury, Ontario",1814
"St. John's, Newfoundland and Labrador",1747
"Sherbrooke, Quebec",1715
"Kingston, Ontario",1687
"Trois-Rivières, Quebec",1670
"Barrie, Ontario",1663
"Saguenay, Quebec",1566
"Thunder Bay, Ontario",1531
"Brantford, Ontario",1525
"Peterborough, Ontario",1524
"Abbotsford-Mission, British Columbia",1497
"Saint John, New Brunswick",1391
"Moncton, New Brunswick",1326
"Guelph, Ontario",1254
