Characteristic,Number of self-employed people
Doctors,116330
Dentists,50022
Psychotherapists (1),33937
Physiotherapists (2),45125
Vets,12019
Pharmacists,15067
Other freelance healing professionals (3),153048
Lawyers,124252
Patent lawyers,3948
Notaries only,1714
"Tax consultant, tax representative",60737
"Auditor, sworn auditor",8533
Business consultants (3),49600
"Other legal, business and tax advisory freelance professions (3) (4)",153592
Architects,56120
Advising engineer (5),16124
Other freelance engineers (3),78520
Appraisers (3),24726
Other technical and natural science freelance professions (3),114021
Freelance cultural occupations (6),335034
