Characteristic,Units sold
Dec 19,186
Nov 19,74
Oct 19,120
Sep 19,153
Aug 19,96
Jul 19,154
Jun 19,94
May 19,157
Apr 19,132
Mar 19,254
Feb 19,45
Jan 19,130
Dec 18,81
Nov 18,115
Oct 18,55
Sep 18,52
Aug 18,160
Jul 18,246
Jun 18,229
May 18,87
Apr 18,107
Mar 18,229
Feb 18,43
Jan 18,138
Dec 17,122
Nov 17,136
Oct 17,132
Sep 17,199
Aug 17,75
Jul 17,121
Jun 17,168
May 17,115
Apr 17,104
Mar 17,358
Feb 17,60
Jan 17,163
Dec 16,128
Nov 16,111
Oct 16,171
Sep 16,320
Aug 16,69
Jul 16,188
