Characteristic,Gross domestic product in billion U.S. dollars
2026*,590.86
2025*,547.15
2024*,506.7
2023*,469.25
2022*,434.65
2021*,402.64
2020,362.24
2019,376.8
2018,346.84
2017,328.48
2016,318.63
2015,306.45
2014,297.48
2013,283.9
2012,261.92
2011,234.22
2010,208.37
2009,176.13
2008,181.01
2007,155.98
2006,127.65
2005,107.42
2004,95.0
2003,87.04
2002,84.31
2001,78.92
2000,83.67
1999,86.06
1998,74.85
1997,94.65
1996,95.3
1995,85.29
1994,73.76
1993,62.6
1992,61.03
1991,52.37
1990,51.05
1989,49.18
1988,43.76
1987,38.34
1986,34.5
