Characteristic,GDP in million euros
Germany,3336180.0
United Kingdom *,2283737.0
France,2278947.0
Italy,1651594.9
Spain,1121698.0
Netherlands,798674.0
Switzerland,655977.7
Turkey,626703.6
Poland,523038.3
Sweden,474724.4
Belgium,451176.9
Austria,377297.2
Ireland,366506.1
Norway,318335.7
Denmark,311726.0
Finland,237467.0
Romania,218165.2
Czechia,213661.0
Portugal,202455.3
Greece,165829.8
Hungary,135924.5
Slovakia,91555.3
Luxembourg,64143.1
Bulgaria,60642.7
Croatia,49283.3
Lithuania,48929.7
Serbia,46467.5
Slovenia,46297.2
Latvia,29334.0
Estonia,27166.9
Cyprus,20840.7
Iceland,19022.2
Bosnia and Herzegovina**,18046.4
Malta,12701.4
Albania,10766.3
North Macedonia,10766.3
Kosovo***,6804.2
Liechtenstein**,5971.8
Montenegro,4193.2
