Characteristic,GDP per capita in U.S. dollars
2026*,729.93
2025*,694.29
2024*,659.09
2023*,624.55
2022*,590.85
2021*,552.34
2020*,489.87
2019*,479.85
2018*,488.56
2017*,450.74
2016*,402.05
2015*,377.48
2014*,424.67
2013*,380.3
2012 *,566.2
2011 *,551.03
2010 *,492.08
2009 *,482.65
2008 *,485.81
2007 *,427.31
2006*,381.32
2005 *,356.69
2004,336.41
2003,310.3
2002,260.87
2001,242.79
2000,238.51
1999,290.99
1998,296.1
1997,285.8
1996,298.44
1995,340.99
1994,268.11
1993,418.92
1992,489.79
1991,502.9
1990,539.66
1989,474.88
1988,490.94
1987,465.18
1986,431.34
