Characteristic,Month-on-month change in Revolut transactions
Skycash,-65%
Booking.com,-64%
Costa Coffee,-61%
Green Caffe Nero,-60%
Empik,-59%
Jak Dojadę,-58%
Starbucks,-58%
Mobilet,-57%
PKP Intercity,-57%
TK Maxx,-57%
Burger King,-53%
Decathlon,-51%
IKEA,-49%
Bolt,-48%
McDonald's,-47%
UBER,-45%
Dallmayr Vending & Office,-45%
KFC,-45%
INMEDIO,-45%
Automaty UVP,-43%
AUTOPAY,-33%
Dbam o zdrowie,10%
ALEXPRESS,12%
Pyszne,20%
NETFLIX,20%
SPOTIFY,25%
HBO,25%
LeClerc,27%
Biedronka,31%
Intermarche,32%
Netto,34%
Auchan,39%
Delikatesy Centrum,42%
Allegro,42%
Stokrotka,44%
Lewiatan,44%
UBER Eats,46%
WOLT,49%
Nintendo,49%
Piotr i Paweł,60%
TVN,76%
PlayStation,87%
Steam Games,109%
GLOVO,122%
